81559276,178513,0,2428129,17917,76099,300,1578379829529
81622186,71401,0,1315560,47026,61310,1000,1578379832270
81394266,150318,0,2981540,33133,69608,1500,1578379844399
81417721,156839,0,2836520,41895,42542,1000,1578379846528
81463167,103794,0,565579,10199,106622,1000,1578379849061
81474544,173702,0,1857356,31788,180057,1000,1578379852423
81431485,166449,0,1980005,39432,120586,500,1578379853635
81793657,238283,0,1618118,3900,221388,1000,1578379857496
81787689,212299,0,2423539,3433,144153,1000,1578379861790
81516881,412582,0,2596642,32893,450806,1500,1578379866230
81559276,178514,0,2428129,17917,76099,300,1578379867938
81622186,71401,0,1315651,47027,61310,1000,1578379870565
81394266,150319,0,2981599,33133,69608,1500,1578379883943
81417721,156845,0,2836520,41896,42544,1000,1578379887324
81463167,103795,0,565584,10199,106622,1000,1578379890630
81474544,173706,0,1857356,31789,180066,1000,1578379892258
81431485,166453,0,1980005,39434,120588,500,1578379895550
81793657,238285,0,1618118,3900,221388,1000,1578379899980
81787689,212299,0,2423539,3433,144153,1000,1578379901746
81516881,412584,0,2596702,32893,450810,1500,1578379903963
81559276,178516,0,2428190,17917,76101,300,1578379906583
81622186,71402,0,1315651,47027,61310,1000,1578379910260
81394266,150321,0,2981599,33133,69609,1500,1578379922676
81417721,156848,0,2836590,41899,42546,1000,1578379925353
81463167,103795,0,565584,10199,106622,1000,1578379927290
81474544,173708,0,1857444,31789,180066,1000,1578379930659
81431485,166458,0,1980098,39435,120591,500,1578379933296
81793657,238286,0,1618172,3900,221390,1000,1578379936075
81787689,212299,0,2423591,3433,144153,1000,1578379937843
81516881,412588,0,2596702,32893,450814,1500,1578379942283
81559276,178518,0,2428190,17917,76101,300,1578379945781
81622186,71404,0,1315734,47027,61314,1000,1578379948255
81394266,150324,0,2981648,33133,69609,1500,1578379960098
81417721,156849,0,2836590,41900,42546,1000,1578379963962
81463167,103795,0,565584,10199,106622,1000,1578379966036
81474544,173711,0,1857444,31789,180074,1000,1578379967570
81431485,166460,0,1980098,39435,120593,500,1578379969136
81793657,238287,0,1618172,3900,221390,1000,1578379971793
81787689,212300,0,2423591,3433,144153,1000,1578379973550
81516881,412589,0,2596742,32893,450818,1500,1578379976392
81559276,178518,0,2428247,17917,76101,300,1578379978605
81622186,71405,0,1315734,47027,61316,1000,1578379982713
81394266,150326,0,2981648,33134,69609,1500,1578379996454
81417721,156852,0,2836661,41900,42546,1000,1578379998059
81463167,103795,0,565590,10199,106622,1000,1578380001573
81474544,173715,0,1857537,31791,180078,1000,1578380005585
81431485,166466,0,1980171,39435,120596,500,1578380008087
81793657,238289,0,1618217,3900,221394,1000,1578380012177
